,latitude,longitude,property_type,room_type,bathrooms,bedrooms,minimum_nights,price
242,37.79119,-122.39564,Condominium,Entire home/apt,2.0,2.0,30,289.0
243,37.75949,-122.46839,Apartment,Entire home/apt,1.0,1.0,1,135.0
244,37.73919,-122.4159,Apartment,Entire home/apt,1.0,1.0,3,135.0
245,37.78377,-122.40721,Apartment,Entire home/apt,1.0,1.0,30,200.0
246,37.75942,-122.4677,Bungalow,Entire home/apt,1.0,1.0,30,125.0
247,37.77159,-122.43204,Apartment,Entire home/apt,1.0,2.0,2,249.0
248,37.74641,-122.41163,Apartment,Entire home/apt,1.0,1.0,2,145.0
249,37.7936,-122.40576,House,Shared room,1.0,1.0,30,30.0
250,37.70885,-122.43077,House,Private room,1.0,1.0,3,70.0
251,37.70978,-122.4308,House,Private room,1.0,1.0,3,65.0
252,37.70988,-122.43083,House,Private room,1.0,1.0,3,70.0
253,37.76897,-122.43855,Apartment,Private room,1.0,1.0,2,109.0
254,37.78115,-122.43246,Condominium,Entire home/apt,1.0,1.0,30,141.0
255,37.78622,-122.4444,House,Entire home/apt,2.0,4.0,2,425.0
256,37.7465,-122.40989,Apartment,Entire home/apt,1.0,1.0,4,175.0
257,37.77116,-122.43373,Apartment,Entire home/apt,1.0,2.0,2,269.0
258,37.75646,-122.40114,Condominium,Entire home/apt,1.0,2.0,30,295.0
259,37.73825,-122.39793,Guest suite,Private room,1.0,1.0,30,79.0
260,37.76048,-122.46255,Apartment,Private room,1.0,1.0,30,55.0
261,37.78655,-122.38992,Condominium,Entire home/apt,1.0,1.0,30,199.0
262,37.74874,-122.41825,Apartment,Private room,1.0,1.0,5,85.0
263,37.76605,-122.42066,Apartment,Private room,1.0,1.0,4,93.0
264,37.77797,-122.43739,Apartment,Private room,1.0,1.0,30,57.0
265,37.75952,-122.44559,Loft,Entire home/apt,1.0,1.0,5,175.0
266,37.76097,-122.44837,Condominium,Entire home/apt,2.0,3.0,30,400.0
267,37.75991,-122.41065,Apartment,Private room,1.0,1.0,1,100.0
268,37.7818,-122.44348,Apartment,Entire home/apt,1.0,1.0,30,130.0
269,37.73407,-122.39527,House,Private room,1.0,1.0,30,79.0
270,37.77033,-122.4491,Apartment,Private room,1.0,1.0,30,55.0
271,37.77831,-122.39379,Loft,Entire home/apt,2.0,1.0,30,179.0
272,37.77842,-122.45796,Guest suite,Entire home/apt,1.0,1.0,30,140.0
273,37.72098,-122.43159,Condominium,Private room,1.0,1.0,2,105.0
274,37.79844,-122.4105,Apartment,Private room,1.0,1.0,30,99.0
275,37.77713,-122.44158,House,Private room,1.0,1.0,2,115.0
276,37.7646,-122.40415,Apartment,Entire home/apt,1.0,1.0,30,181.0
277,37.74984,-122.50852,House,Entire home/apt,2.0,4.0,3,495.0
278,37.7654,-122.43398,Townhouse,Private room,1.0,1.0,30,75.0
279,37.7557,-122.41151,House,Entire home/apt,2.0,3.0,4,250.0
280,37.73485,-122.43407,Guest suite,Entire home/apt,1.0,1.0,1,135.0
281,37.80055,-122.40562,Apartment,Private room,1.0,1.0,2,79.0
282,37.7703,-122.45021,House,Private room,1.0,1.0,1,53.0
283,37.7971,-122.42793,Apartment,Entire home/apt,1.0,1.0,31,200.0
284,37.76122,-122.43823,Apartment,Private room,1.0,1.0,30,99.0
285,37.75963,-122.40192,Condominium,Entire home/apt,1.5,2.0,3,272.0
286,37.76202,-122.42335,Apartment,Private room,1.0,1.0,2,115.0
287,37.73429,-122.46413,House,Private room,1.0,1.0,2,50.0
288,37.78027,-122.46108,House,Entire home/apt,2.0,3.0,4,399.0
289,37.76043,-122.46203,Apartment,Private room,1.0,1.0,1,75.0
290,37.76105,-122.46313,Apartment,Private room,1.0,1.0,1,65.0
291,37.76943,-122.43377,Condominium,Entire home/apt,1.5,2.0,3,310.0
292,37.75401,-122.40925,Apartment,Entire home/apt,1.0,2.0,30,259.0
293,37.75975,-122.50544,House,Entire home/apt,2.0,3.0,1,300.0
294,37.80519,-122.42143,Apartment,Entire home/apt,1.0,2.0,2,298.0
295,37.74308,-122.40679,Apartment,Entire home/apt,1.0,1.0,30,140.0
296,37.75231,-122.40827,Apartment,Private room,1.0,1.0,30,93.0
297,37.75855,-122.4453,House,Private room,1.0,1.0,1,111.0
298,37.75698,-122.41126,Guest suite,Entire home/apt,1.0,1.0,31,180.0
299,37.7901,-122.39593,Loft,Shared room,1.0,1.0,2,74.0
300,37.74168,-122.38258,Guest suite,Private room,1.0,1.0,1,76.0
301,37.77712,-122.47832,Bed and breakfast,Private room,1.0,1.0,2,120.0
302,37.76094,-122.44388,House,Private room,1.0,1.0,1,90.0
303,37.75655,-122.4799,House,Private room,1.0,1.0,7,68.0
304,37.77093,-122.43008,House,Entire home/apt,3.0,3.0,3,500.0
305,37.78521,-122.44279,Apartment,Entire home/apt,2.0,3.0,2,500.0
306,37.76225,-122.43232,Guest suite,Entire home/apt,1.0,1.0,30,192.0
307,37.7752,-122.50139,Apartment,Entire home/apt,1.0,1.0,2,159.0
308,37.74553,-122.43805,Guesthouse,Entire home/apt,1.0,2.0,30,250.0
309,37.7909,-122.43397,Condominium,Entire home/apt,2.0,3.0,2,500.0
310,37.78983,-122.43481,Apartment,Entire home/apt,1.0,1.0,30,149.0
311,37.72731,-122.43864,House,Entire home/apt,1.0,2.0,30,150.0
312,37.77804,-122.43084,Apartment,Entire home/apt,1.5,5.0,30,500.0
313,37.76046,-122.39778,House,Private room,1.0,1.0,2,120.0
314,37.73446,-122.46455,House,Private room,1.0,1.0,2,45.0
315,37.73586,-122.46462,House,Private room,1.0,1.0,2,40.0
316,37.77082,-122.44901,Apartment,Private room,1.0,1.0,30,79.0
317,37.75727,-122.50099,House,Entire home/apt,2.0,3.0,7,290.0
318,37.77706,-122.4047,Loft,Entire home/apt,2.0,2.0,2,245.0
319,37.80068,-122.40549,Townhouse,Entire home/apt,1.0,2.0,30,300.0
320,37.80102,-122.40395,Apartment,Entire home/apt,1.0,2.0,30,300.0
321,37.74254,-122.42685,Guesthouse,Entire home/apt,1.0,1.0,30,120.0
322,37.77766,-122.43437,Condominium,Entire home/apt,1.0,2.0,3,275.0
323,37.77658,-122.47882,Apartment,Private room,1.0,1.0,2,100.0
324,37.79268,-122.41532,Apartment,Private room,1.0,1.0,30,70.0
325,37.73289,-122.44803,House,Private room,1.0,1.0,30,60.0
326,37.75599,-122.4222,Apartment,Entire home/apt,1.0,2.0,3,225.0
327,37.77139,-122.44729,Apartment,Private room,1.0,1.0,1,99.0
328,37.77621,-122.39703,Loft,Private room,1.0,1.0,30,120.0
329,37.77113,-122.44616,Apartment,Private room,1.0,1.0,1,89.0
330,37.77028,-122.44757,Apartment,Private room,1.0,1.0,1,79.0
331,37.77107,-122.44874,Apartment,Private room,1.0,1.0,1,99.0
332,37.74644,-122.41747,House,Entire home/apt,2.0,2.0,3,345.0
333,37.77966,-122.40344,House,Entire home/apt,1.0,2.0,29,186.0
334,37.73489,-122.42641,House,Private room,1.0,1.0,3,89.0
335,37.7367,-122.41797,Apartment,Entire home/apt,2.0,4.0,3,450.0
336,37.77871,-122.4372,Apartment,Private room,1.0,1.0,30,50.0
337,37.76518,-122.42791,Condominium,Entire home/apt,1.0,2.0,2,430.0
338,37.73461,-122.46862,Guest suite,Entire home/apt,1.0,1.0,3,130.0
339,37.74264,-122.42576,Apartment,Private room,1.0,1.0,3,75.0
340,37.76974,-122.43233,Apartment,Entire home/apt,1.0,2.0,5,295.0
341,37.73885,-122.41743,House,Entire home/apt,1.0,2.0,2,200.0
342,37.74947,-122.43675,House,Entire home/apt,1.0,2.0,5,300.0
343,37.76314,-122.44484,House,Entire home/apt,2.0,2.0,4,249.0
344,37.77167,-122.43522,Apartment,Entire home/apt,2.0,2.0,30,216.0
345,37.76908,-122.42032,Apartment,Private room,1.0,1.0,3,89.0
346,37.76873,-122.43397,Apartment,Entire home/apt,2.0,3.0,3,425.0
347,37.77784,-122.43823,Apartment,Private room,1.0,1.0,3,95.0
348,37.71969,-122.45163,Guest suite,Entire home/apt,1.0,1.0,3,125.0
349,37.77806,-122.39501,Loft,Entire home/apt,1.0,1.0,30,200.0
350,37.74994,-122.41452,House,Private room,1.0,1.0,1,119.0
351,37.74615,-122.41673,Apartment,Private room,1.0,1.0,2,76.0
352,37.77128,-122.44823,Condominium,Entire home/apt,2.5,4.0,30,450.0
353,37.77779,-122.43775,Apartment,Private room,1.0,1.0,2,90.0
354,37.78369,-122.46976,Apartment,Entire home/apt,1.0,1.0,5,175.0
355,37.73403,-122.44662,House,Private room,1.0,1.0,30,52.0
356,37.7573,-122.48483,House,Private room,1.0,1.0,30,47.0
357,37.79006,-122.43236,Apartment,Entire home/apt,1.0,1.0,30,150.0
358,37.75084,-122.42341,Guest suite,Entire home/apt,1.0,1.0,2,145.0
359,37.75526,-122.42497,Apartment,Entire home/apt,1.0,0.0,30,125.0
360,37.75398,-122.42171,Condominium,Entire home/apt,2.0,4.0,6,500.0
361,37.75238,-122.45867,House,Private room,1.0,1.0,1,99.0
362,37.77363,-122.49017,House,Entire home/apt,2.5,3.0,6,350.0
363,37.76244,-122.3946,House,Entire home/apt,2.0,3.0,2,500.0
364,37.76361,-122.43063,Apartment,Entire home/apt,1.0,0.0,30,160.0
365,37.7665,-122.43606,Guest suite,Entire home/apt,1.0,1.0,3,135.0
366,37.74901,-122.43293,Apartment,Entire home/apt,1.0,1.0,30,199.0
367,37.76033,-122.43893,Apartment,Private room,1.0,1.0,30,89.0
368,37.75867,-122.43454,Apartment,Entire home/apt,1.0,1.0,30,175.0
