,bedrooms,room_type_Private room,bathrooms,room_type_Shared room,latitude,property_type_House,minimum_nights,longitude,predicted,price,off,new_price
5961,1.0,1,1.0,0,37.76898,0,1,-122.45057,92.67429836076442,64.0,True,92.67429836076442
5962,1.0,1,1.0,0,37.73558,1,1,-122.39913,87.95844079826892,90.0,False,90.0
5963,1.0,1,1.0,0,37.79709,0,30,-122.42993,84.30296817031108,350.0,True,84.30296817031108
5964,1.0,0,1.0,0,37.77318,0,2,-122.40272,176.26763522056063,250.0,True,176.26763522056063
5965,1.0,0,1.0,0,37.7915,0,30,-122.40855,159.60985066492768,150.0,False,150.0
5966,1.0,0,1.0,0,37.77501,0,2,-122.44462,173.26194994877596,198.0,False,198.0
5967,1.0,1,1.0,0,37.79084,1,1,-122.40887,117.12664545241466,120.0,False,120.0
5968,0.0,0,1.0,0,37.72138,0,2,-122.40135,135.19191857806175,124.0,False,124.0
5969,1.0,1,1.0,0,37.71965,1,30,-122.3946,72.94987222983025,100.0,True,72.94987222983025
5970,1.0,1,1.0,0,37.76211,1,1,-122.40492,76.75957610780601,69.0,False,69.0
5971,1.0,0,1.5,0,37.80529,0,2,-122.42183,215.03252496140502,800.0,True,215.03252496140502
5972,1.0,1,1.0,0,37.75955,1,5,-122.38946,87.32035423850196,90.0,False,90.0
5973,2.0,0,2.0,0,37.72259,1,2,-122.39804,251.57091014007239,175.0,True,251.57091014007239
5974,1.0,0,1.0,0,37.77118,0,30,-122.42542,171.80934269187603,177.0,False,177.0
5975,1.0,0,1.0,0,37.77178,0,30,-122.42594,162.92737312517718,142.0,False,142.0
5976,1.0,0,1.0,0,37.77104,0,30,-122.42676,164.20965983783768,186.0,False,186.0
5977,1.0,0,1.0,0,37.77107,0,30,-122.42582,176.61925248386135,191.0,False,191.0
5978,1.0,1,1.0,0,37.75463,0,1,-122.39918,126.3496590707509,150.0,False,150.0
5979,1.0,0,1.0,0,37.77052,0,30,-122.42739,164.60288056186516,136.0,True,164.60288056186516
5980,3.0,0,2.5,0,37.79217,0,3,-122.41223,437.2132209423488,900.0,True,437.2132209423488
5981,1.0,0,1.0,0,37.75997,1,2,-122.39314,148.90171867754063,160.0,False,160.0
5982,1.0,0,1.0,0,37.78972,0,5,-122.40673,182.98216663731156,200.0,False,200.0
5983,1.0,0,1.0,0,37.78963,0,5,-122.40678,182.4503253674703,200.0,False,200.0
